Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Best Params,Filename
Random Forest Classifier,0.9725,0.9763,0.9946,0.9854,0.9964,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",clf_random_forest_classifier.joblib
Gradient Boosting Classifier,0.98,0.9866,0.9919,0.9893,0.9958,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",clf_gradient_boosting_classifier.joblib
Logistic Regression,0.97,0.9688,1.0,0.9841,0.9902,"{'C': 0.1, 'solver': 'lbfgs'}",clf_logistic_regression.joblib
Support Vector Classifier (SVC),0.9725,0.9788,0.9919,0.9853,0.9886,"{'C': 0.1, 'kernel': 'linear'}",clf_support_vector_classifier_svc.joblib
K-Neighbors Classifier,0.965,0.9637,1.0,0.9815,0.9433,"{'n_neighbors': 9, 'weights': 'distance'}",clf_k-neighbors_classifier.joblib
