Model,CV R2 (5-Fold),Train R2,Test R2,Test MAE,Test RMSE,Best Params,Time (s),Filename
Voting Ensemble Regressor,0.758,0.7751,0.7644,5.95,7.56,Ensemble(Ridge + GradBoost + RandomForest),0.5,voting_ensemble_regressor.joblib
Tuned Ridge Regression,0.7485,0.763,0.7631,5.98,7.58,"{'alpha': 10.0, 'solver': 'auto'}",0.3,tuned_ridge_regression.joblib
Tuned ElasticNet,0.7495,0.7625,0.7614,5.99,7.61,"{'alpha': 0.05, 'l1_ratio': 0.9}",0.2,tuned_elasticnet.joblib
Tuned Lasso Regression,0.7499,0.7611,0.7604,5.99,7.62,"{'alpha': 0.1, 'selection': 'cyclic'}",0.2,tuned_lasso_regression.joblib
Stacking Meta-Regressor,0.7575,0.7626,0.7603,6.01,7.62,Stacking(Ridge+GB+Lasso -> Meta Ridge),0.8,stacking_ensemble_regressor.joblib
Tuned Gradient Boosting,0.7293,0.7897,0.7553,6.07,7.7,"{'learning_rate': 0.08, 'max_depth': 3, 'n_estimators': 50}",5.5,tuned_gradient_boosting.joblib
Tuned Random Forest,0.7256,0.7773,0.7503,6.14,7.78,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",8.3,tuned_random_forest.joblib
Tuned AdaBoost,0.7063,0.7548,0.7441,6.23,7.88,"{'learning_rate': 0.2, 'n_estimators': 80}",5.8,tuned_adaboost.joblib
